StartTime,RTT
972.00000000,0.01172138
972.02004475,0.01476894
972.04011993,0.01303928
972.06021071,0.01749107
972.08028098,0.01502918
972.10033678,0.01586265
972.12040874,0.01742269
972.14046197,0.01306065
972.16047813,0.01737577
972.18056606,0.01701450
972.20063363,0.01365929
972.22068388,0.01770575
972.24068468,0.01799749
972.26073387,0.33428613
972.28078814,0.01463612
972.30086112,0.01851273
972.32094276,0.01797620
972.34100671,0.01418419
972.36109110,0.01613566
972.38115101,0.01559531
972.40123778,0.01541753
972.42124092,0.01317477
972.44133156,0.01357658
972.46139773,0.01760751
972.48145926,0.01772676
972.50148923,0.01693259
972.52155448,0.01783737
972.54159890,-1.00000000
972.56166720,0.01362661
972.58171948,0.01371162
972.60181313,0.01563960
972.62187363,0.01343037
972.64188014,0.88951286
972.66193700,0.01594683
972.68199530,0.01627542
972.70206961,0.01511787
972.72211190,0.01544189
972.74220494,0.01705043
972.76225058,0.01337889
972.78227394,0.01781679
972.80235922,0.01309223
972.82236506,0.01711449
972.84241768,0.01328742
972.86244173,0.01598779
972.88252280,0.01687586
972.90257809,0.01325755
972.92264755,0.01476873
972.94265458,0.01718192
972.96273978,0.01670726
972.98280116,0.01569264
973.00286965,0.01563258
973.02293102,0.01602408
973.04298145,0.01363325
973.06299746,-1.00000000
973.08301532,0.01477411
973.10310071,0.01340191
973.12317275,0.01426507
973.14324604,0.01659291
973.16333613,0.01661450
973.18341970,0.01443700
973.20351874,0.01643021
973.22360992,0.01648129
973.24367345,0.01324448
973.26367578,0.01573028
973.28371683,0.01496115
973.30378422,0.43174848
973.32383971,0.01594373
973.34391329,0.01452705
973.36398043,0.01333228
973.38406076,0.01534639
973.40415360,0.01676504
973.42422932,0.01693043
973.44430412,0.01617422
973.46435663,0.01357948
973.48444593,0.01534817
973.50451749,0.01512687
973.52460515,0.01736000
973.54466822,0.01470340
973.56470752,0.01453879
973.58473004,0.01716815
973.60482528,0.01679933
973.62482891,0.01514743
973.64489497,0.01704317
973.66499368,0.01565663
973.68502585,0.01551899
973.70504050,0.01423382
973.72512891,0.01769772
973.74517160,0.01398640
973.76526332,0.01745182
973.78533996,0.01516518
973.80542876,0.01775340
973.82543020,0.01343694
973.84543666,0.01731983
973.86547142,0.01774067
973.88549444,0.01628972
973.90551934,0.01539940
973.92554496,0.01425505
973.94561021,0.01472397
973.96570459,0.01730936
973.98578644,0.01343468
974.00582776,0.01680028
974.02591641,0.01345869
974.04592633,0.01624257
974.06599532,0.01785765
974.08602618,0.01404937
974.10604225,0.01455469
974.12613064,0.01363702
974.14618788,0.01508977
974.16624514,0.01651750
974.18633309,0.01491470
974.20634153,0.01741426
974.22640575,0.01652169
974.24643395,0.01709726
974.26648245,0.01371548
974.28657115,0.01438435
974.30667012,0.01654519
974.32674959,-1.00000000
974.34675184,0.01672024
974.36679187,0.01414604
974.38681295,0.01328990
974.40689544,0.01759897
974.42697887,0.01717005
974.44705012,0.01771296
974.46705365,0.01688344
974.48707204,0.01604721
974.50715585,0.01507396
974.52716293,0.01700500
974.54724952,0.01664192
974.56732780,0.01520207
974.58735723,0.01320087
974.60738614,0.01529231
974.62743794,0.01772507
974.64745404,0.01607122
974.66752070,0.01527355
974.68753451,0.01332262
974.70762559,0.01607438
974.72768226,0.01366466
974.74774846,0.54785774
974.76783756,0.01479733
974.78791462,0.01780388
974.80798783,0.01760071
974.82808403,0.01492193
974.84810240,0.01493985
974.86810716,0.01549275
974.88812610,0.01695244
974.90813105,0.01324515
974.92815982,0.01597907
974.94817650,0.06592634
974.96826208,0.01740225
974.98826447,0.45889078
975.00830755,0.01531710
975.02835050,0.01608627
975.04836816,0.01757111
975.06842898,0.01360312
975.08847432,0.01730297
975.10854554,0.01772311
975.12863846,0.01534012
975.14870497,0.01564587
975.16871850,0.01703882
975.18876877,0.01386360
975.20877327,0.01373341
975.22887188,0.01399580
975.24894697,0.01530358
975.26897527,0.01546613
975.28900193,0.01864829
975.30907276,0.01449554
975.32907281,0.01397665
975.34913668,0.01489695
975.36920911,0.01351534
975.38925034,0.01454244
975.40929615,0.01602588
975.42937256,0.01777383
975.44938409,0.01412780
975.46942036,0.01688676
975.48943658,0.02042322
975.50949819,0.05230075
975.52955211,0.01410072
975.54962827,0.01416961
975.56966724,0.01659817
975.58973966,0.01408134
975.60983618,0.01528672
975.62989144,0.01574161
975.64992847,0.01517002
975.66996247,0.01424094
975.68997215,0.32714553
975.70997832,0.01759692
975.73000270,0.01727826
975.75007800,0.01582891
975.77010701,0.01534801
975.79010972,0.01731501
975.81012864,0.01682899
975.83020402,0.01496509
975.85020922,0.01410104
975.87022441,0.01368804
975.89023912,0.01717891
975.91025376,0.01437683
975.93032162,0.01537514
975.95036188,0.01398259
975.97041617,0.01550790
975.99048799,0.01389541
976.01050582,0.01417760
976.03058200,0.01799227
976.05059814,0.01407375
976.07063924,0.01315396
976.09066604,0.01579253
976.11069849,0.01403848
976.13076296,0.01712860
976.15079487,0.01509234
976.17087457,0.01467226
976.19093275,0.01321034
976.21096662,0.01597605
976.23097252,0.01726300
976.25106720,0.01340424
976.27113958,0.01728901
976.29114890,0.01415471
976.31116480,0.01708232
976.33123947,0.01507326
976.35127343,0.01597472
