StartTime,RTT
628,0.013
628.033,0.016
628.069,0.018
628.108,0.014
628.143,0.014
628.177,0.015
628.212,0.015
628.248,-1
629.268,0.014
629.302,0.018
629.341,0.015
629.377,0.016
629.413,0.015
629.449,0.018
629.487,0.017
629.524,0.016
629.561,0.018
629.599,0.742
630.361,0.057
630.438,-1
631.458,0.725
632.204,0.015
632.24,0.018
632.278,0.014
632.313,0.016
632.35,0.015
632.386,0.016
632.422,0.014
632.457,0.017
632.494,0.018
632.533,0.017
632.571,0.015
632.607,0.017
632.645,0.015
632.68,0.017
632.717,0.017
632.755,0.014
632.789,-1
633.81,0.014
633.844,0.018
633.882,0.015
633.918,0.232
634.171,0.016
634.207,0.015
634.243,0.014
634.278,0.017
634.316,0.017
634.353,0.015
634.389,0.018
634.427,0.017
634.465,0.015
634.501,0.017
634.538,0.014
634.572,0.018
634.611,0.017
634.649,0.015
634.685,0.014
634.719,0.017
634.757,0.017
634.795,0.014
634.83,0.016
634.867,0.018
634.906,0.018
634.944,0.015
634.98,0.018
635.019,0.014
635.053,0.198
635.272,0.018
635.31,0.014
635.345,0.018
635.383,-1
636.403,0.018
636.442,-1
637.462,0.016
637.498,0.016
637.534,0.016
637.571,0.025
637.617,0.017
637.654,0.015
637.69,0.014
637.725,0.017
637.762,-1
638.782,0.015
638.818,0.015
638.854,0.016
638.89,0.017
638.928,0.017
638.965,0.016
639.002,-1
640.023,0.018
640.061,0.018
640.1,0.017
640.138,0.015
640.173,0.018
640.212,0.014
640.247,0.016
640.283,-1
641.303,0.018
641.342,0.016
641.378,0.016
641.415,0.014
641.45,0.015
641.485,0.017
641.522,0.1
641.642,0.015
641.678,0.017
641.716,0.017
641.753,0.014
641.788,0.015
641.823,0.014
641.857,0.023
641.901,0.018
641.94,0.016
641.977,0.016
642.014,0.015
642.049,0.018
642.088,0.014
642.122,0.018
642.16,0.014
642.195,0.018
642.234,0.016
642.27,0.017
642.308,0.018
642.347,0.016
642.384,0.016
642.42,0.014
642.455,0.015
642.49,0.016
642.526,0.017
642.564,0.014
642.598,0.018
642.637,0.016
642.673,0.016
642.709,0.015
642.745,0.016
642.781,0.014
642.816,0.017
642.853,0.014
642.888,0.016
642.925,0.014
642.959,0.015
642.995,0.016
643.032,0.018
643.07,0.014
643.104,0.018
643.143,0.016
643.179,0.014
643.214,0.015
643.25,0.015
643.285,0.014
643.32,0.014
643.355,0.016
643.392,0.014
643.427,0.018
643.465,0.018
643.504,0.014
643.539,0.016
643.575,0.015
643.611,0.018
643.649,0.015
643.685,0.014
643.72,0.019
643.759,0.017
643.797,0.014
643.832,0.014
643.867,0.015
643.902,0.014
643.936,0.016
643.973,0.014
644.007,0.014
644.042,0.018
644.08,0.018
644.119,0.018
644.158,0.015
644.193,0.06
644.274,0.017
644.311,0.018
644.35,0.015
644.386,0.016
644.422,0.015
644.457,0.017
644.495,0.014
644.53,0.015
644.566,0.014
644.6,0.014
644.634,0.017
644.672,0.014
644.707,0.014
644.741,0.017
644.779,0.017
644.817,0.017
644.854,0.017
644.892,0.015
644.927,0.017
644.965,0.018
645.003,0.015
645.039,0.016
645.076,0.018
645.114,0.017
645.151,0.017
645.189,0.016
645.225,-1
646.245,-1
647.265,0.016
647.302,0.018
647.341,0.831
648.193,0.015
648.229,0.014
648.264,0.015
648.299,0.017
648.336,0.018
648.375,0.015
648.41,0.015
648.446,0.014
648.48,0.014
648.514,0.018
648.553,0.017
648.591,0.014
648.625,0.015
648.661,0.017
648.698,0.016
648.735,0.017
648.773,0.015
648.808,0.018
648.847,0.017
648.885,0.017
648.922,0.017
648.96,0.018
648.998,0.018
649.036,0.845
649.902,0.014
649.936,0.018
649.974,0.014
650.009,0.016
650.045,0.018
650.083,0.015
650.119,0.132
650.272,0.015
650.308,0.014
650.343,0.016
650.379,0.017
650.417,0.018
650.455,0.014
650.49,0.045
650.555,0.018
650.594,0.018
650.632,0.018
650.671,0.031
650.723,0.018
650.761,0.014
650.796,-1
651.816,0.018
651.854,0.018
651.892,0.018
651.931,-1
652.951,0.018
652.989,0.044
653.053,0.016
653.09,0.016
653.127,0.015
653.162,0.015
653.198,0.089
653.308,0.016
653.344,0.016
653.381,0.015
653.416,0.014
653.451,0.018
653.49,0.015
653.526,0.015
653.561,-1
654.581,0.014
654.616,0.017
654.654,0.015
654.689,0.015
654.725,0.015
654.76,0.018
654.799,0.018
654.838,0.018
654.877,0.017
654.914,0.014
654.949,0.016
654.985,0.018
655.023,0.018
655.062,0.016
655.099,0.211
655.33,0.015
655.366,0.016
655.402,0.014
655.436,0.014
655.471,0.014
655.505,0.018
655.544,0.015
655.579,0.015
