StartTime          RTT
628.00000000   0.01300000
628.03300000   0.01600000
628.06900000   0.01800000
628.10800000   0.01400000
628.14300000   0.01400000
628.17700000   0.01500000
628.21200000   0.01500000
628.24800000  -1.00000000
629.26800000   0.01400000
629.30200000   0.01800000
629.34100000   0.01500000
629.37700000   0.01600000
629.41300000   0.01500000
629.44900000   0.01800000
629.48700000   0.01700000
629.52400000   0.01600000
629.56100000   0.01800000
629.59900000   0.74200000
630.36100000   0.05700000
630.43800000  -1.00000000
631.45800000   0.72500000
632.20400000   0.01500000
632.24000000   0.01800000
632.27800000   0.01400000
632.31300000   0.01600000
632.35000000   0.01500000
632.38600000   0.01600000
632.42200000   0.01400000
632.45700000   0.01700000
632.49400000   0.01800000
632.53300000   0.01700000
632.57100000   0.01500000
632.60700000   0.01700000
632.64500000   0.01500000
632.68000000   0.01700000
632.71700000   0.01700000
632.75500000   0.01400000
632.78900000  -1.00000000
633.81000000   0.01400000
633.84400000   0.01800000
633.88200000   0.01500000
633.91800000   0.23200000
634.17100000   0.01600000
634.20700000   0.01500000
634.24300000   0.01400000
634.27800000   0.01700000
634.31600000   0.01700000
634.35300000   0.01500000
634.38900000   0.01800000
634.42700000   0.01700000
634.46500000   0.01500000
634.50100000   0.01700000
634.53800000   0.01400000
634.57200000   0.01800000
634.61100000   0.01700000
634.64900000   0.01500000
634.68500000   0.01400000
634.71900000   0.01700000
634.75700000   0.01700000
634.79500000   0.01400000
634.83000000   0.01600000
634.86700000   0.01800000
634.90600000   0.01800000
634.94400000   0.01500000
634.98000000   0.01800000
635.01900000   0.01400000
635.05300000   0.19800000
635.27200000   0.01800000
635.31000000   0.01400000
635.34500000   0.01800000
635.38300000  -1.00000000
636.40300000   0.01800000
636.44200000  -1.00000000
637.46200000   0.01600000
637.49800000   0.01600000
637.53400000   0.01600000
637.57100000   0.02500000
637.61700000   0.01700000
637.65400000   0.01500000
637.69000000   0.01400000
637.72500000   0.01700000
637.76200000  -1.00000000
638.78200000   0.01500000
638.81800000   0.01500000
638.85400000   0.01600000
638.89000000   0.01700000
638.92800000   0.01700000
638.96500000   0.01600000
639.00200000  -1.00000000
640.02300000   0.01800000
640.06100000   0.01800000
640.10000000   0.01700000
640.13800000   0.01500000
640.17300000   0.01800000
640.21200000   0.01400000
640.24700000   0.01600000
640.28300000  -1.00000000
641.30300000   0.01800000
641.34200000   0.01600000
641.37800000   0.01600000
641.41500000   0.01400000
641.45000000   0.01500000
641.48500000   0.01700000
641.52200000   0.10000000
641.64200000   0.01500000
641.67800000   0.01700000
641.71600000   0.01700000
641.75300000   0.01400000
641.78800000   0.01500000
641.82300000   0.01400000
641.85700000   0.02300000
641.90100000   0.01800000
641.94000000   0.01600000
641.97700000   0.01600000
642.01400000   0.01500000
642.04900000   0.01800000
642.08800000   0.01400000
642.12200000   0.01800000
642.16000000   0.01400000
642.19500000   0.01800000
642.23400000   0.01600000
642.27000000   0.01700000
642.30800000   0.01800000
642.34700000   0.01600000
642.38400000   0.01600000
642.42000000   0.01400000
642.45500000   0.01500000
642.49000000   0.01600000
642.52600000   0.01700000
642.56400000   0.01400000
642.59800000   0.01800000
642.63700000   0.01600000
642.67300000   0.01600000
642.70900000   0.01500000
642.74500000   0.01600000
642.78100000   0.01400000
642.81600000   0.01700000
642.85300000   0.01400000
642.88800000   0.01600000
642.92500000   0.01400000
642.95900000   0.01500000
642.99500000   0.01600000
643.03200000   0.01800000
643.07000000   0.01400000
643.10400000   0.01800000
643.14300000   0.01600000
643.17900000   0.01400000
643.21400000   0.01500000
643.25000000   0.01500000
643.28500000   0.01400000
643.32000000   0.01400000
643.35500000   0.01600000
643.39200000   0.01400000
643.42700000   0.01800000
643.46500000   0.01800000
643.50400000   0.01400000
643.53900000   0.01600000
643.57500000   0.01500000
643.61100000   0.01800000
643.64900000   0.01500000
643.68500000   0.01400000
643.72000000   0.01900000
643.75900000   0.01700000
643.79700000   0.01400000
643.83200000   0.01400000
643.86700000   0.01500000
643.90200000   0.01400000
643.93600000   0.01600000
643.97300000   0.01400000
644.00700000   0.01400000
644.04200000   0.01800000
644.08000000   0.01800000
644.11900000   0.01800000
644.15800000   0.01500000
644.19300000   0.06000000
644.27400000   0.01700000
644.31100000   0.01800000
644.35000000   0.01500000
644.38600000   0.01600000
644.42200000   0.01500000
644.45700000   0.01700000
644.49500000   0.01400000
644.53000000   0.01500000
644.56600000   0.01400000
644.60000000   0.01400000
644.63400000   0.01700000
644.67200000   0.01400000
644.70700000   0.01400000
644.74100000   0.01700000
644.77900000   0.01700000
644.81700000   0.01700000
644.85400000   0.01700000
644.89200000   0.01500000
644.92700000   0.01700000
644.96500000   0.01800000
645.00300000   0.01500000
645.03900000   0.01600000
645.07600000   0.01800000
645.11400000   0.01700000
645.15100000   0.01700000
645.18900000   0.01600000
645.22500000  -1.00000000
646.24500000  -1.00000000
647.26500000   0.01600000
647.30200000   0.01800000
647.34100000   0.83100000
648.19300000   0.01500000
648.22900000   0.01400000
648.26400000   0.01500000
648.29900000   0.01700000
648.33600000   0.01800000
648.37500000   0.01500000
648.41000000   0.01500000
648.44600000   0.01400000
648.48000000   0.01400000
648.51400000   0.01800000
648.55300000   0.01700000
648.59100000   0.01400000
648.62500000   0.01500000
648.66100000   0.01700000
648.69800000   0.01600000
648.73500000   0.01700000
648.77300000   0.01500000
648.80800000   0.01800000
648.84700000   0.01700000
648.88500000   0.01700000
648.92200000   0.01700000
648.96000000   0.01800000
648.99800000   0.01800000
649.03600000   0.84500000
649.90200000   0.01400000
649.93600000   0.01800000
649.97400000   0.01400000
650.00900000   0.01600000
650.04500000   0.01800000
650.08300000   0.01500000
650.11900000   0.13200000
650.27200000   0.01500000
650.30800000   0.01400000
650.34300000   0.01600000
650.37900000   0.01700000
650.41700000   0.01800000
650.45500000   0.01400000
650.49000000   0.04500000
650.55500000   0.01800000
650.59400000   0.01800000
650.63200000   0.01800000
650.67100000   0.03100000
650.72300000   0.01800000
650.76100000   0.01400000
650.79600000  -1.00000000
651.81600000   0.01800000
